Title,Score,Vote,Popularity,Members,Favorite,Status,Demographics
Naked,7.33,364,16780,793,3,Finished,[Shoujo]
Fortune Arterial,7.33,2314,3468,5737,45,Finished,[]
Haigakura,7.33,303,8511,2068,13,Publishing,[Josei]
Oishinbo (Oishinbo: Ã€ la Carte),7.33,407,8517,2067,33,On Hiatus,[Seinen]
Nogizaka Haruka no Himitsu,7.33,226,13713,1085,7,Finished,[]
Kabushikigaisha Love Cotton,7.33,308,15589,891,6,Finished,[Shoujo]
Sarasah,7.33,591,8504,2071,29,Publishing,[Shoujo]
Love Less,7.33,576,11812,1335,47,Finished,[Shoujo]
Lupin III Y,7.33,151,17382,747,2,Finished,[Seinen]
Stardustâ˜…Wink,7.33,5299,1306,14463,160,Finished,[Shoujo]
Ai kara Hajimaru,7.33,4071,2578,7648,23,Finished,[Shoujo]
Seikai no Monshou (Seikai Trilogy),7.32,419,14578,991,15,Finished,[]
Vampire Doll: Guilt-na-Zan,7.32,968,7214,2539,87,Finished,[Josei]
Excel Saga,7.32,1833,3163,6297,174,Finished,[Seinen]
Rockman EXE (MegaMan NT Warrior),7.32,1242,7221,2537,118,Finished,['Kids']
Wanted!,7.32,8275,1386,13741,80,Finished,[Shounen]
Narutaru: Mukuro Naru Hoshi Tama Taru Ko (Shadow Starâ˜†),7.32,4014,1545,12563,374,Finished,[Seinen]
Kimi no Kakera,7.32,261,13639,1093,21,Finished,[Shounen]
Real/Fake Princess,7.32,757,9649,1762,16,Finished,[Shoujo]
Lodoss-tou Senki: Pharis no Seijo (Record of Lodoss War: The Lady of Pharis),7.32,610,10491,1580,26,Finished,[]
Kazan,7.32,434,13438,1114,16,Finished,[Seinen]
: Various Heroines (KimiKiss),7.32,2598,3694,5381,48,Finished,[Seinen]
Spiral Alive,7.32,541,8503,2071,22,Finished,[Shounen]
Majo (Witches),7.32,2690,2171,8932,97,Finished,[Seinen]
Demon Sacred,7.32,322,12244,1277,12,Finished,[Shoujo]
Kokoro Kikai.,7.32,2261,4524,4296,15,Finished,[]
Legend of Nereid,7.32,1467,5657,3360,23,Finished,[Shoujo]
Itadakimasu,7.32,2063,4640,4181,31,Finished,[Josei]
Yami no Koe (Voices in the Dark),7.32,8859,1057,16987,120,Finished,[Shoujo]
Hakaiou Noritaka!,7.32,617,10187,1646,31,Finished,[Shounen]
M to N no Shouzou (Portrait of M and N),7.32,755,7564,2399,16,Finished,[Shoujo]
RiverS Edge,7.32,1859,3263,6132,135,Finished,[Josei]
Kawaii Oresama,7.32,1684,6648,2813,6,Finished,[Shoujo]
Turn A Gundam,7.32,157,20668,553,3,Finished,[]
Nadeshiko Club,7.32,885,7994,2241,4,Finished,[Shoujo]
Love Luck,7.32,1804,5710,3316,12,Finished,[Shoujo]
Pheromomania Syndrome,7.32,436,10607,1553,10,Finished,[Shoujo]
Hanshin,7.32,2947,3704,5363,42,Finished,[Shoujo]
Senpai to Kanojo,7.32,1261,7405,2465,4,Finished,[]
Strange Orange,7.32,353,14184,1033,1,Finished,[Shoujo]
Show Princess,7.32,372,10837,1508,3,Finished,[Shoujo]
C-blossom: Case 729,7.32,1351,6249,3004,10,Finished,[Shoujo]
Watashi no + Okusuri,7.32,1737,5721,3310,28,Finished,[Shoujo]
Kidou Senshi Gundam 00,7.32,172,19149,636,11,Finished,[]
.hack//Cell,7.32,281,12871,1184,9,Finished,[]
Tokkyuu!!,7.32,201,16298,828,5,Finished,[Shounen]
Barairo no Hoho no Koro,7.32,1723,4965,3887,26,Finished,[]
Aneâ˜†Mone Seikaten,7.32,1569,6179,3040,2,Finished,[Shoujo]
Plastic Girl,7.32,3144,3270,6126,12,Finished,[Shoujo]
Ginga Densetsu Weed: Orion,7.32,250,15854,866,24,Finished,[Seinen]
Joshiraku,7.32,828,4781,4041,51,Finished,[Shounen]
Seikimatsu Leader Den Takeshi!,7.32,198,19477,617,5,Finished,[Shounen]
Kono Koi wo Wasurenai. (I Wont Forget This Love),7.32,800,9840,1727,4,Finished,[Shoujo]
No Guns Life,7.32,2561,1395,13651,150,Finished,[Seinen]
Hanayome to Exorcist (The Bride & the Exorcist Knight),7.32,387,10667,1543,10,Finished,[Shoujo]
Eyeshield 21,7.32,452,10707,1534,23,Finished,[Shounen]
For the Sake of Sita,7.32,1855,5576,3426,28,Finished,[]
Dear My Teacher,7.32,940,5971,3154,27,Publishing,[]
Mimi Mix!,7.32,719,8753,1994,16,Finished,[]
Mado kara Madoka-chan,7.32,1542,4747,4072,34,Finished,[Seinen]
Meshinuma.,7.32,553,9242,1862,34,Publishing,[Seinen]
